Model,Make
1,AIRO
1-L Malamut,MARA WING
4-AT Tri-Motor,FORD
5-AT Tri-Motor,FORD
01 Colibri,NEW HORIZONS
01 Isatis,AEROJAMES
10,FLEET
10,WACO
11,FLEET
16 Finch,FLEET
27 VariViggen,RUTAN
28 Catalina,CONSOLIDATED
28 Catalina,CONVAIR
32 VariViggen,RUTAN
33 VariEze,RUTAN
40 Defiant,RUTAN
44 Angel,ANGEL
50 Pantera,ENAER
55 Twin Navion,RILEY
56 Paulistinha,NEIVA
60 Fort,FLEET
61,JETSTREAM
61 Long-EZ,RUTAN
77 Solitaire,RUTAN
80 Canuck,FLEET
80 Canuck,LEAVENS
90,EXPRESS
100 Centennial,FOUND
100 Lark Commander,NORTH AMERICAN ROCKWELL
100 Sunbird,VERILITE
101 Arava,IAI
102 Arava,IAI
122 Zephyr,ATEC
125,WACO
145 Jet Provost,BAC
149 Blenheim,BRISTOL
149 Bolingbroke,BRISTOL
151 Ares,SCALED
151 Ares,RUTAN
167 Strikemaster,BAC
170 Mars,MARTIN
171 Sycamore,BRISTOL
175 Skyranger,REARWIN
180 Skyranger,REARWIN
201 Arava,IAI
202 Arava,IAI
202 Boomerang,RUTAN
209 HueyCobra,BELL
209 SuperCobra,BELL
214ST SuperTransport,BELL
281 Proteus,RUTAN
281 Proteus,SCALED
311 Global Flyer,SCALED
318 White Knight,RUTAN
318 White Knight,SCALED
321 Faeta,ATEC
358 Gavilan,AERO MERCANTIL
"360, SHORT SH36 M364 Prowler",MORSE
367 BiPod,RUTAN
367 BiPod,SCALED
377SGT Super Guppy,AERO SPACELINES
415 Ercoupe,ERCO
449 SuperCobra,BELL
480 Twin Navion,CAMAIR
594 Avian,AVRO
616 Avian,AVRO
621 Tutor,AVRO
636 Snobird Adventurer,CALUMET
636 Snobird Adventurer,SNOBIRD
652 Anson,AVRO
683 Lancaster,AVRO
696 Shackleton,AVRO
698 Vulcan,AVRO
747-400LCF Dreamlifter,BOEING
747SCA Shuttle Carrier,BOEING
1050 Alizé,BREGUET
1121 Commodore Jet,IAI
1121 Jet Commander,AERO COMMANDER
1125 Astra,IAI
1125 Gulfstream G100,IAI
1126 Galaxy,IAI
1126 Gulfstream G200,IAI
1150 Atlantic,DASSAULT
1150 Atlantic,BREGUET
2000,TRAVEL AIR
2000 Starship,BEECH
2000 Starship,RAYTHEON
2091,PANHA
2501 Noratlas,NORDFLUG
2501 Noratlas,NORD
4500 Evangel,EVANGEL
7000 Sportster,REARWIN
8500 Sportster,REARWIN
9000 Sportster,REARWIN
A-1,AMX
A-1,EMBRAER
A-1 Husky,CHRISTEN
A-1 Husky,AVIAT
A-1 Husky Pup,AVIAT
A-2,CALLAIR
A-2 Aircoupe,ALON
